track_id,track_name,artist_id,album_id,date_id
1nWB8isqs2tviWk20G5pow,Lie,1,1,1
7GNRUsU3M4XNDDB9xle5Dz,That That (prod.&feat. SUGA of BTS),2,2,1
4BtOh0Xwh3DHelPQ14MPVC,Hollywood Action,3,3,1
56Yxkm62GtEpnPyG7TvwLY,LOCO,4,4,1
3r1Xi1ZFDWmiA35vtA2zJD,Don't Tell Nobody,5,5,1
6IqKFke4ZhKbGYULllEezY,Go Big or Go Home,6,6,1
04boE4u1AupbrGlI62WvoO,White Noise 3 Hour Long,7,7,1
14L7bSbRnV8qVx2maqEerm,風月,8,8,1
2Zdtn4iRW6Utuo2f2mNFEl,弱水三千,9,9,1
5pQHRLEVl9zgvrzEKTgAPS,吹灭小山河,10,10,1
4u9x8hU8ywY7osr4F86Z7v,白嫁衣,11,11,1
0aLGdSD9P362mNRapnwwVf,出山,12,12,1
6LKkNIDsEi9H4foJ5S3Lgc,踏雪,13,13,1
5m7arASbaIgwFZRDPovln1,浮光,14,14,1
0sFRQBZqMHBKN5oU3wXCEX,春,15,15,1
3cHkS1oZDYBY31NXdqVCLw,TOKYO DRIFT,5,5,1
6OWWZtNQORY1McaZmOrwhc,GO!,16,16,1
